exit_id,employee_id,exit_date,reason_for_leaving,would_recommend_company,final_comments
1,525,2023-06-11,Desire to Teach at Hogwarts,Only for Dark Magic Roles,
2,811,2024-09-10,Lack of Growth Opportunities,Yes,
3,295,2025-03-02,Lack of Growth Opportunities,Yes,Respond team just very common middle get group second and.
4,393,2024-06-27,Lack of Growth Opportunities,No,Sense relate whose western available inside peace house fill along.
5,579,2023-05-24,Lack of Growth Opportunities,No,
6,799,2023-07-26,Burnout from Over-Enchantment,No,Mrs boy himself end few face industry agree whose carry tree group just even week tell.
7,380,2024-03-14,Conflict with Team,Only for Dark Magic Roles,
8,167,2024-08-04,Relocated to Forbidden Forest,No,
9,908,2024-06-14,Switched to Potion Crafting,Maybe,
10,918,2025-02-20,Desire to Teach at Hogwarts,Yes,
11,41,2023-11-10,Banned from Ministry-Level Magic,Maybe,
12,905,2024-04-13,Switched to Potion Crafting,No,
13,35,2024-04-22,Desire to Teach at Hogwarts,No,
14,43,2024-06-11,Banned from Ministry-Level Magic,Only for Dark Magic Roles,
15,15,2023-07-28,Banned from Ministry-Level Magic,No,Physical simply argue continue son about source I president piece identify meeting world.
16,878,2024-02-01,Better Offer from SpellCo,Maybe,Site management mention until support we fall debate thing dinner away explain.
17,84,2024-09-18,Desire to Teach at Hogwarts,Yes,Know who according voice explain brother near early fund Republican citizen although.
18,109,2024-10-08,Switched to Potion Crafting,No,
19,929,2024-01-19,Desire to Teach at Hogwarts,Only for Dark Magic Roles,
20,687,2023-09-17,Banned from Ministry-Level Magic,Yes,
21,666,2024-11-16,Started Own Magic Practice,Only for Dark Magic Roles,
22,587,2024-12-16,Desire to Teach at Hogwarts,Yes,
23,880,2023-04-08,Banned from Ministry-Level Magic,Yes,
24,228,2023-04-23,Desire to Teach at Hogwarts,Only for Dark Magic Roles,Approach same whether success my according finish walk pick compare born smile outside support significant.
25,632,2023-07-12,Switched to Potion Crafting,Only for Dark Magic Roles,Approach rock score president situation pretty country would usually data ahead might least film employee close item small.
26,419,2023-07-13,Lack of Growth Opportunities,Yes,
27,771,2023-12-27,Started Own Magic Practice,Yes,
28,627,2023-12-20,Desire to Teach at Hogwarts,No,Because contain help many available science defense impact trip back responsibility cup rather product pretty believe charge lead response stock.
29,638,2023-04-18,Desire to Teach at Hogwarts,Only for Dark Magic Roles,Skin eat focus rather cell whether road about they last join idea face represent another gun everyone.
30,818,2024-01-11,Lack of Growth Opportunities,Maybe,Time seat set water use those successful step such film very defense chair civil letter.
31,728,2024-02-02,Burnout from Over-Enchantment,Only for Dark Magic Roles,Method wait contain travel western account same current street rest national.
32,604,2024-08-31,Lack of Growth Opportunities,Yes,
33,242,2023-11-18,Conflict with Team,Only for Dark Magic Roles,
34,119,2024-09-29,Conflict with Team,No,Industry computer too doctor case tonight read cover more those appear opportunity.
35,347,2024-01-01,Banned from Ministry-Level Magic,No,
36,169,2023-11-16,Lack of Growth Opportunities,Yes,
37,827,2023-06-27,Started Own Magic Practice,Only for Dark Magic Roles,Run rule thing staff though certainly effort for old none let establish floor.
38,683,2024-04-18,Desire to Teach at Hogwarts,Yes,
39,462,2023-12-22,Better Offer from SpellCo,Only for Dark Magic Roles,Happy officer general Republican piece final personal front develop include know today different over seem young difference raise station step.
40,491,2025-02-07,Better Offer from SpellCo,No,Drive group traditional visit policy allow outside who close building.
41,903,2023-05-04,Started Own Magic Practice,No,
42,47,2025-02-17,Relocated to Forbidden Forest,Only for Dark Magic Roles,Rule rate institution cup possible guy peace campaign follow main save.
43,424,2023-10-02,Started Own Magic Practice,Only for Dark Magic Roles,Attorney become worker by care on focus least debate significant no read democratic.
44,170,2023-11-22,Started Own Magic Practice,Maybe,
45,781,2023-10-14,Banned from Ministry-Level Magic,Maybe,
46,630,2023-10-25,Desire to Teach at Hogwarts,No,Sister what animal drug particularly view heart fire American gun have PM section term media.
