survey_id,employee_id,survey_date,overall_satisfaction,job_spell_alignment,magical_involvement,team_relationships,management_trust_level,comment
1,1,2024-10-18,Dissatisfied,Very Dissatisfied,Neutral,Cold,Magically Bonded,Base public require participant something right single newspaper off turn east size scene music.
2,2,2024-06-06,Satisfied,Dissatisfied,Disengaged,Magically Bonded,Hostile,
3,3,2024-09-01,Very Satisfied,Satisfied,Disengaged,Friendly,Hostile,
4,4,2024-06-08,Satisfied,Neutral,Highly Engaged,Cold,Magically Bonded,
5,5,2025-02-16,Dissatisfied,Dissatisfied,Engaged,Friendly,Magically Bonded,
6,6,2024-04-01,Neutral,Satisfied,Engaged,Magically Bonded,Hostile,
7,7,2024-06-18,Very Satisfied,Dissatisfied,Neutral,Hostile,Hostile,
8,8,2024-06-07,Neutral,Very Satisfied,Engaged,Neutral,Cold,
9,9,2024-10-28,Neutral,Dissatisfied,Highly Engaged,Neutral,Neutral,
10,10,2024-06-24,Very Satisfied,Very Satisfied,Highly Engaged,Cold,Magically Bonded,Education well heart everybody according scientist maintain forget hear out it nearly.
11,11,2024-10-06,Neutral,Satisfied,Neutral,Magically Bonded,Neutral,
12,12,2024-10-17,Very Satisfied,Dissatisfied,Neutral,Friendly,Cold,Away determine represent smile agree approach likely box sometimes bag.
13,13,2025-01-29,Satisfied,Dissatisfied,Engaged,Hostile,Friendly,
14,14,2025-02-11,Very Satisfied,Satisfied,Engaged,Friendly,Hostile,
15,15,2025-03-10,Satisfied,Very Dissatisfied,Neutral,Neutral,Neutral,
16,16,2024-10-04,Very Dissatisfied,Dissatisfied,Disengaged,Hostile,Magically Bonded,Green reach unit bank reveal candidate American other administration approach hard magazine evening Democrat.
17,17,2024-06-01,Neutral,Neutral,Neutral,Magically Bonded,Magically Bonded,
18,18,2025-02-08,Neutral,Neutral,Engaged,Magically Bonded,Hostile,
19,19,2024-08-10,Very Dissatisfied,Dissatisfied,Disengaged,Magically Bonded,Hostile,Trade now long ground many performance treat increase manage including activity rise sign without decision.
20,20,2024-05-20,Dissatisfied,Very Satisfied,Somewhat Engaged,Magically Bonded,Neutral,
21,21,2025-03-22,Satisfied,Dissatisfied,Somewhat Engaged,Cold,Hostile,
22,22,2024-09-12,Satisfied,Very Satisfied,Highly Engaged,Hostile,Neutral,
23,23,2025-04-01,Very Satisfied,Neutral,Engaged,Cold,Hostile,Few you education claim recently usually purpose when situation adult continue case head yard.
24,24,2025-03-23,Satisfied,Satisfied,Neutral,Neutral,Hostile,
25,25,2024-04-04,Satisfied,Dissatisfied,Highly Engaged,Neutral,Neutral,Look rock indicate trip according respond focus risk unit positive collection responsibility surface perform they.
26,26,2024-11-07,Satisfied,Very Satisfied,Somewhat Engaged,Friendly,Magically Bonded,
27,27,2025-02-13,Very Dissatisfied,Very Dissatisfied,Neutral,Hostile,Neutral,Yourself enter child actually movie cup audience win.
28,28,2024-07-13,Very Dissatisfied,Very Satisfied,Highly Engaged,Cold,Neutral,
29,29,2024-05-07,Satisfied,Dissatisfied,Engaged,Cold,Magically Bonded,
30,30,2024-11-20,Very Satisfied,Dissatisfied,Disengaged,Cold,Cold,
31,31,2025-01-05,Dissatisfied,Dissatisfied,Somewhat Engaged,Friendly,Cold,Agreement defense tree imagine rock nation mission notice unit reality line end spend happen federal.
32,32,2025-01-09,Neutral,Neutral,Highly Engaged,Friendly,Hostile,
33,33,2025-03-31,Satisfied,Neutral,Highly Engaged,Hostile,Magically Bonded,
34,34,2025-01-29,Very Satisfied,Satisfied,Neutral,Neutral,Magically Bonded,Phone tough deal red democratic fear share theory walk minute.
35,35,2024-09-22,Very Satisfied,Neutral,Engaged,Cold,Magically Bonded,
36,36,2024-10-31,Dissatisfied,Very Dissatisfied,Engaged,Cold,Cold,
37,37,2024-08-03,Neutral,Dissatisfied,Somewhat Engaged,Neutral,Cold,
38,38,2024-04-02,Dissatisfied,Very Dissatisfied,Neutral,Magically Bonded,Friendly,
39,39,2024-04-01,Satisfied,Very Satisfied,Engaged,Cold,Neutral,
40,40,2024-12-24,Satisfied,Dissatisfied,Highly Engaged,Friendly,Magically Bonded,Million behavior new senior sound floor book administration yeah audience across actually public approach general big.
41,41,2024-10-31,Very Satisfied,Very Satisfied,Engaged,Neutral,Cold,
42,42,2025-02-08,Neutral,Dissatisfied,Neutral,Magically Bonded,Cold,
43,43,2024-11-11,Satisfied,Satisfied,Highly Engaged,Hostile,Magically Bonded,
44,44,2024-08-27,Dissatisfied,Satisfied,Highly Engaged,Neutral,Neutral,
45,45,2024-06-27,Neutral,Satisfied,Disengaged,Hostile,Magically Bonded,First especially better that new kind stand floor father region many or hour.
46,46,2024-09-18,Neutral,Dissatisfied,Somewhat Engaged,Cold,Neutral,Than turn goal within production change investment.
47,47,2024-04-10,Dissatisfied,Very Satisfied,Disengaged,Magically Bonded,Neutral,
48,48,2024-05-09,Very Satisfied,Dissatisfied,Neutral,Hostile,Magically Bonded,
49,49,2024-08-13,Dissatisfied,Very Satisfied,Somewhat Engaged,Hostile,Magically Bonded,This majority media this new pretty stuff similar least agreement scene radio.
50,50,2025-02-06,Very Satisfied,Satisfied,Highly Engaged,Friendly,Neutral,
51,51,2024-05-15,Very Satisfied,Neutral,Highly Engaged,Friendly,Hostile,Appear each skill radio house responsibility leave brother house close door significant head.
52,52,2024-05-19,Very Satisfied,Neutral,Neutral,Friendly,Magically Bonded,
53,53,2025-03-18,Dissatisfied,Dissatisfied,Neutral,Magically Bonded,Magically Bonded,
54,54,2024-07-14,Neutral,Satisfied,Neutral,Hostile,Friendly,
55,55,2024-07-25,Very Dissatisfied,Satisfied,Neutral,Cold,Neutral,Body possible particular never situation able at forward ahead wear approach before still position machine mind.
56,56,2025-01-18,Very Dissatisfied,Neutral,Neutral,Cold,Friendly,
57,57,2024-06-26,Satisfied,Neutral,Highly Engaged,Friendly,Magically Bonded,Prepare there simple agency shoulder recognize well should call reveal across.
58,58,2024-05-14,Very Dissatisfied,Satisfied,Disengaged,Neutral,Cold,
59,59,2025-02-15,Very Satisfied,Dissatisfied,Neutral,Hostile,Neutral,
60,60,2024-11-08,Dissatisfied,Neutral,Neutral,Cold,Neutral,
61,61,2024-09-18,Dissatisfied,Very Dissatisfied,Disengaged,Magically Bonded,Cold,
62,62,2024-12-02,Very Satisfied,Very Dissatisfied,Highly Engaged,Magically Bonded,Friendly,
63,63,2024-11-14,Neutral,Dissatisfied,Neutral,Magically Bonded,Hostile,
64,64,2025-03-16,Very Dissatisfied,Neutral,Engaged,Hostile,Hostile,Professor deal half ground various seek purpose thank view state may crime model.
65,65,2024-12-21,Neutral,Very Dissatisfied,Highly Engaged,Magically Bonded,Friendly,
66,66,2024-06-27,Neutral,Very Satisfied,Highly Engaged,Magically Bonded,Cold,
67,67,2024-07-05,Very Satisfied,Dissatisfied,Neutral,Friendly,Cold,Likely reality west body off green staff game record difficult.
68,68,2024-05-21,Very Dissatisfied,Very Satisfied,Disengaged,Cold,Neutral,Note herself door huge drug figure arrive yeah military pretty reflect leave might.
69,69,2024-09-15,Dissatisfied,Satisfied,Somewhat Engaged,Friendly,Neutral,
70,70,2024-08-09,Neutral,Very Satisfied,Disengaged,Hostile,Hostile,
71,71,2025-02-28,Very Dissatisfied,Very Satisfied,Somewhat Engaged,Neutral,Neutral,Within themselves notice bank black everyone which turn attack them someone free wish end let inside.
72,72,2025-03-07,Dissatisfied,Dissatisfied,Disengaged,Hostile,Neutral,
73,73,2024-07-15,Neutral,Dissatisfied,Highly Engaged,Friendly,Neutral,
74,74,2024-07-13,Neutral,Very Dissatisfied,Disengaged,Magically Bonded,Friendly,
75,75,2024-06-28,Satisfied,Neutral,Engaged,Friendly,Friendly,
76,76,2024-05-20,Very Dissatisfied,Very Satisfied,Engaged,Magically Bonded,Friendly,
77,77,2025-01-21,Very Satisfied,Very Satisfied,Engaged,Friendly,Cold,Anyone step try remain church me off lot talk.
78,78,2025-01-25,Very Dissatisfied,Very Dissatisfied,Engaged,Friendly,Magically Bonded,
79,79,2024-05-27,Satisfied,Satisfied,Disengaged,Cold,Friendly,
80,80,2025-01-12,Very Satisfied,Very Satisfied,Engaged,Neutral,Friendly,
81,81,2024-05-13,Dissatisfied,Neutral,Engaged,Friendly,Cold,
82,82,2024-07-30,Very Satisfied,Dissatisfied,Disengaged,Magically Bonded,Hostile,
83,83,2025-02-28,Very Satisfied,Dissatisfied,Engaged,Friendly,Cold,Focus class get not sit community step community yourself analysis last without yeah.
84,84,2024-06-09,Neutral,Dissatisfied,Engaged,Magically Bonded,Neutral,
85,85,2024-07-01,Satisfied,Very Satisfied,Highly Engaged,Cold,Magically Bonded,
86,86,2024-04-11,Satisfied,Very Satisfied,Highly Engaged,Cold,Friendly,
87,87,2024-05-23,Dissatisfied,Satisfied,Disengaged,Magically Bonded,Hostile,
88,88,2025-03-19,Satisfied,Neutral,Somewhat Engaged,Hostile,Neutral,But continue appear benefit our first need show media.
89,89,2024-07-23,Very Satisfied,Neutral,Somewhat Engaged,Hostile,Friendly,
90,90,2024-08-16,Very Dissatisfied,Very Dissatisfied,Disengaged,Magically Bonded,Neutral,Decade beyond nature energy that past teach will suffer group.
91,91,2024-12-03,Very Satisfied,Neutral,Disengaged,Neutral,Hostile,
92,92,2024-12-14,Very Dissatisfied,Very Dissatisfied,Disengaged,Magically Bonded,Cold,
93,93,2024-04-17,Dissatisfied,Very Satisfied,Engaged,Cold,Cold,
94,94,2024-08-01,Dissatisfied,Very Dissatisfied,Disengaged,Neutral,Cold,
95,95,2024-06-07,Dissatisfied,Very Dissatisfied,Disengaged,Magically Bonded,Neutral,
96,96,2024-09-28,Very Dissatisfied,Neutral,Highly Engaged,Friendly,Neutral,
97,97,2025-01-12,Very Satisfied,Dissatisfied,Neutral,Magically Bonded,Hostile,Sign along some success affect situation evidence travel cause address ready.
98,98,2024-12-27,Satisfied,Very Dissatisfied,Engaged,Neutral,Neutral,
99,99,2025-03-13,Dissatisfied,Satisfied,Engaged,Magically Bonded,Neutral,Important could across team line during than term behavior strong hand project appear Mr outside reduce.
100,100,2024-04-13,Dissatisfied,Satisfied,Somewhat Engaged,Hostile,Friendly,
