promotion_id,employee_id,promotion_date,previous_title,new_title,notes
1,715,2023-01-21,Magical HR Specialist,Junior Spell Crafter,Successfully led magical creature relocation
2,1000,2023-01-25,Magical HR Specialist,Master of Charms,Published advanced spell theory in Journal of Arcane Arts
3,1000,2020-06-04,Master of Charms,Magical HR Specialist,Appointed by Ministry liaison
4,1000,2024-08-05,Magical HR Specialist,Master of Charms,Recognized leadership in enchanted teams
5,508,2020-05-15,Potions Intern,Senior Enchanter,Rapid learning of advanced charms
6,508,2021-03-21,Senior Enchanter,Wand Safety Officer,Promoted for excellence in spellcasting
7,932,2023-02-25,Potions Intern,Master of Charms,Successfully led magical creature relocation
8,55,2021-06-30,Wand Safety Officer,Master of Charms,Published advanced spell theory in Journal of Arcane Arts
9,55,2022-05-03,Master of Charms,Magical HR Specialist,Rapid learning of advanced charms
10,314,2023-07-17,Wand Safety Officer,Junior Spell Crafter,Recognized leadership in enchanted teams
11,83,2024-04-02,Senior Enchanter,Magical HR Specialist,Mentored multiple junior wizards
12,83,2021-10-30,Magical HR Specialist,Junior Spell Crafter,Mentored multiple junior wizards
13,83,2020-08-04,Junior Spell Crafter,Master of Charms,Mentored multiple junior wizards
14,584,2021-05-19,Wand Safety Officer,Potions Intern,Recognized leadership in enchanted teams
15,654,2023-09-17,Junior Spell Crafter,Potions Intern,Appointed by Ministry liaison
16,654,2023-08-21,Potions Intern,Magical HR Specialist,Recognized leadership in enchanted teams
17,721,2024-04-22,Junior Spell Crafter,Senior Enchanter,Mentored multiple junior wizards
18,721,2022-04-05,Senior Enchanter,Junior Spell Crafter,Published advanced spell theory in Journal of Arcane Arts
19,721,2021-03-31,Junior Spell Crafter,Potions Intern,Recognized leadership in enchanted teams
20,227,2024-03-29,Senior Enchanter,Potions Intern,Appointed by Ministry liaison
21,227,2023-11-22,Potions Intern,Junior Spell Crafter,Outstanding potion innovation
22,227,2023-10-07,Junior Spell Crafter,Master of Charms,Successfully led magical creature relocation
23,528,2020-09-11,Senior Enchanter,Wand Safety Officer,Mentored multiple junior wizards
24,528,2022-10-04,Wand Safety Officer,Master of Charms,Mentored multiple junior wizards
25,549,2022-06-13,Magical HR Specialist,Wand Safety Officer,Outstanding potion innovation
26,786,2021-04-04,Senior Enchanter,Magical HR Specialist,Promoted for excellence in spellcasting
27,786,2022-07-11,Magical HR Specialist,Master of Charms,Outstanding potion innovation
28,764,2020-09-15,Senior Enchanter,Junior Spell Crafter,Promoted for excellence in spellcasting
29,764,2022-03-22,Junior Spell Crafter,Magical HR Specialist,Promoted for excellence in spellcasting
30,966,2022-03-11,Magical HR Specialist,Potions Intern,Mentored multiple junior wizards
31,966,2020-05-15,Potions Intern,Magical HR Specialist,Appointed by Ministry liaison
32,969,2022-11-28,Master of Charms,Junior Spell Crafter,Rapid learning of advanced charms
33,969,2022-05-02,Junior Spell Crafter,Magical HR Specialist,Appointed by Ministry liaison
34,969,2023-08-04,Magical HR Specialist,Master of Charms,Mentored multiple junior wizards
35,656,2020-12-21,Junior Spell Crafter,Potions Intern,Recognized leadership in enchanted teams
36,656,2023-01-01,Potions Intern,Wand Safety Officer,Promoted for excellence in spellcasting
37,44,2021-11-22,Senior Enchanter,Junior Spell Crafter,Outstanding potion innovation
38,44,2021-10-07,Junior Spell Crafter,Magical HR Specialist,Mentored multiple junior wizards
39,517,2021-03-30,Master of Charms,Junior Spell Crafter,Published advanced spell theory in Journal of Arcane Arts
40,517,2022-08-10,Junior Spell Crafter,Potions Intern,Promoted for excellence in spellcasting
41,517,2021-01-13,Potions Intern,Senior Enchanter,Promoted for excellence in spellcasting
42,601,2022-03-03,Potions Intern,Master of Charms,Appointed by Ministry liaison
43,868,2021-05-29,Senior Enchanter,Master of Charms,Appointed by Ministry liaison
44,944,2024-05-11,Master of Charms,Senior Enchanter,Successfully led magical creature relocation
45,944,2020-09-10,Senior Enchanter,Wand Safety Officer,Outstanding potion innovation
46,570,2024-12-17,Junior Spell Crafter,Magical HR Specialist,Rapid learning of advanced charms
47,570,2023-02-04,Magical HR Specialist,Senior Enchanter,Recognized leadership in enchanted teams
48,570,2020-10-04,Senior Enchanter,Wand Safety Officer,Promoted for excellence in spellcasting
49,170,2024-12-08,Potions Intern,Wand Safety Officer,Mentored multiple junior wizards
50,170,2023-01-04,Wand Safety Officer,Potions Intern,Recognized leadership in enchanted teams
51,552,2024-02-16,Junior Spell Crafter,Magical HR Specialist,Appointed by Ministry liaison
52,248,2020-05-12,Magical HR Specialist,Master of Charms,Successfully led magical creature relocation
53,248,2024-05-15,Master of Charms,Wand Safety Officer,Promoted for excellence in spellcasting
54,256,2023-07-21,Master of Charms,Magical HR Specialist,Promoted for excellence in spellcasting
55,256,2021-10-17,Magical HR Specialist,Junior Spell Crafter,Successfully led magical creature relocation
56,377,2020-06-27,Potions Intern,Senior Enchanter,Published advanced spell theory in Journal of Arcane Arts
57,377,2023-11-01,Senior Enchanter,Wand Safety Officer,Outstanding potion innovation
58,377,2022-04-23,Wand Safety Officer,Junior Spell Crafter,Successfully led magical creature relocation
59,996,2022-10-30,Magical HR Specialist,Junior Spell Crafter,Successfully led magical creature relocation
60,996,2021-07-18,Junior Spell Crafter,Potions Intern,Recognized leadership in enchanted teams
61,996,2024-05-12,Potions Intern,Junior Spell Crafter,Successfully led magical creature relocation
62,401,2022-11-07,Junior Spell Crafter,Senior Enchanter,Mentored multiple junior wizards
63,401,2021-06-11,Senior Enchanter,Magical HR Specialist,Mentored multiple junior wizards
64,401,2024-04-09,Magical HR Specialist,Potions Intern,Published advanced spell theory in Journal of Arcane Arts
65,323,2020-11-10,Potions Intern,Wand Safety Officer,Appointed by Ministry liaison
66,757,2021-11-02,Wand Safety Officer,Magical HR Specialist,Outstanding potion innovation
67,961,2022-02-21,Wand Safety Officer,Potions Intern,Rapid learning of advanced charms
68,43,2020-11-22,Wand Safety Officer,Junior Spell Crafter,Appointed by Ministry liaison
69,43,2021-07-18,Junior Spell Crafter,Senior Enchanter,Successfully led magical creature relocation
70,43,2021-10-01,Senior Enchanter,Potions Intern,Successfully led magical creature relocation
71,186,2024-12-11,Junior Spell Crafter,Magical HR Specialist,Recognized leadership in enchanted teams
72,844,2021-01-31,Potions Intern,Magical HR Specialist,Mentored multiple junior wizards
73,103,2024-09-03,Master of Charms,Potions Intern,Successfully led magical creature relocation
74,103,2023-08-01,Potions Intern,Magical HR Specialist,Outstanding potion innovation
75,14,2020-08-23,Wand Safety Officer,Senior Enchanter,Recognized leadership in enchanted teams
76,14,2022-08-21,Senior Enchanter,Potions Intern,Appointed by Ministry liaison
77,849,2022-08-20,Senior Enchanter,Wand Safety Officer,Rapid learning of advanced charms
78,910,2023-03-06,Magical HR Specialist,Wand Safety Officer,Promoted for excellence in spellcasting
79,910,2021-01-25,Wand Safety Officer,Potions Intern,Rapid learning of advanced charms
80,435,2023-02-18,Wand Safety Officer,Potions Intern,Promoted for excellence in spellcasting
81,194,2024-03-06,Junior Spell Crafter,Master of Charms,Rapid learning of advanced charms
82,194,2020-11-14,Master of Charms,Senior Enchanter,Recognized leadership in enchanted teams
83,194,2021-03-18,Senior Enchanter,Junior Spell Crafter,Published advanced spell theory in Journal of Arcane Arts
84,593,2024-06-19,Junior Spell Crafter,Magical HR Specialist,Recognized leadership in enchanted teams
85,593,2024-06-14,Magical HR Specialist,Master of Charms,Rapid learning of advanced charms
86,462,2023-05-12,Junior Spell Crafter,Senior Enchanter,Promoted for excellence in spellcasting
87,211,2023-02-01,Senior Enchanter,Wand Safety Officer,Published advanced spell theory in Journal of Arcane Arts
88,211,2021-05-18,Wand Safety Officer,Magical HR Specialist,Published advanced spell theory in Journal of Arcane Arts
89,211,2020-09-25,Magical HR Specialist,Master of Charms,Mentored multiple junior wizards
90,166,2022-08-26,Potions Intern,Wand Safety Officer,Successfully led magical creature relocation
91,166,2025-03-10,Wand Safety Officer,Junior Spell Crafter,Mentored multiple junior wizards
92,219,2024-06-15,Master of Charms,Wand Safety Officer,Promoted for excellence in spellcasting
93,219,2023-10-29,Wand Safety Officer,Master of Charms,Mentored multiple junior wizards
94,515,2023-09-30,Potions Intern,Junior Spell Crafter,Mentored multiple junior wizards
95,515,2022-07-05,Junior Spell Crafter,Master of Charms,Rapid learning of advanced charms
96,515,2024-08-15,Master of Charms,Magical HR Specialist,Outstanding potion innovation
