certification_id,employee_id,cert_name,cert_level,issue_date,expiry_date,status
1,1,Herbology Essentials,Intermediate,2024-04-29,2027-04-29,Valid
2,1,Defensive Charms,Beginner,2022-04-13,2023-04-13,Revoked
3,2,Dark Magic Identification,Master,2021-12-07,2024-12-07,Valid
4,2,Wand Safety 101,Intermediate,2020-06-22,2024-06-22,Revoked
5,2,Teleportation Accuracy,Master,2020-01-19,2023-01-19,Revoked
6,2,Potion Brewing Basics,Intermediate,2017-12-19,2019-12-19,Valid
7,3,Herbology Essentials,Beginner,2024-01-11,2029-01-11,Expired
8,3,Defensive Charms,Beginner,2020-02-23,2023-02-23,Revoked
9,4,Defensive Charms,Intermediate,2023-04-10,2024-04-10,Revoked
10,4,Wand Safety 101,Master,2020-04-04,2024-04-04,Revoked
11,4,Wand Safety 101,Intermediate,2021-07-07,2024-07-07,Expired
12,4,Herbology Essentials,Beginner,2021-01-30,2024-01-30,Revoked
13,5,Muggle Interaction Training,Beginner,2021-10-13,2023-10-13,Expired
14,5,Potion Brewing Basics,Master,2022-01-17,2023-01-17,Valid
15,6,Magical Ethics,Master,2021-12-20,2026-12-20,Expired
16,6,Teleportation Accuracy,Intermediate,2023-07-18,2028-07-18,Valid
17,7,Defensive Charms,Intermediate,2021-11-16,2022-11-16,Valid
18,8,Potion Brewing Basics,Intermediate,2024-09-29,2027-09-29,Expired
19,8,Herbology Essentials,Intermediate,2021-10-13,2026-10-13,Valid
20,9,Wand Safety 101,Beginner,2016-02-15,2020-02-15,Revoked
21,9,Herbology Essentials,Master,2017-10-28,2022-10-28,Revoked
22,9,Magical Ethics,Master,2024-01-09,2027-01-09,Expired
23,10,Teleportation Accuracy,Intermediate,2024-06-09,2027-06-09,Revoked
24,11,Dark Magic Identification,Beginner,2019-03-30,2020-03-30,Revoked
25,11,Teleportation Accuracy,Intermediate,2016-05-20,2019-05-20,Valid
26,12,Wand Safety 101,Beginner,2016-10-03,2020-10-03,Revoked
27,13,Defensive Charms,Intermediate,2023-11-12,2026-11-12,Valid
28,13,Dark Magic Identification,Beginner,2018-05-30,2023-05-30,Expired
29,13,Wand Safety 101,Beginner,2015-06-16,2018-06-16,Valid
30,13,Advanced Spell Theory,Intermediate,2023-02-07,2024-02-07,Revoked
31,14,Herbology Essentials,Intermediate,2023-03-08,2026-03-08,Revoked
32,14,Defensive Charms,Beginner,2016-09-23,2021-09-23,Valid
33,14,Muggle Interaction Training,Intermediate,2025-03-11,2030-03-11,Valid
34,15,Magical Ethics,Master,2017-06-03,2021-06-03,Expired
35,15,Dark Magic Identification,Master,2022-11-16,2024-11-16,Valid
36,15,Potion Brewing Basics,Master,2022-04-13,2027-04-13,Valid
37,15,Wand Safety 101,Master,2020-12-30,2022-12-30,Expired
38,16,Herbology Essentials,Intermediate,2018-09-18,2021-09-18,Valid
39,16,Muggle Interaction Training,Beginner,2017-03-23,2022-03-23,Valid
40,17,Herbology Essentials,Intermediate,2021-03-01,2025-03-01,Valid
41,17,Magical Ethics,Beginner,2022-06-27,2023-06-27,Revoked
42,18,Dark Magic Identification,Master,2021-01-08,2026-01-08,Valid
43,18,Dark Magic Identification,Master,2017-09-29,2018-09-29,Valid
44,18,Dark Magic Identification,Master,2018-06-03,2021-06-03,Expired
45,19,Defensive Charms,Master,2018-02-27,2023-02-27,Valid
46,19,Wand Safety 101,Master,2015-05-05,2019-05-05,Valid
47,19,Herbology Essentials,Master,2018-09-12,2022-09-12,Expired
48,20,Wand Safety 101,Intermediate,2020-04-03,2025-04-03,Revoked
49,20,Advanced Spell Theory,Beginner,2016-12-09,2019-12-09,Expired
50,20,Defensive Charms,Intermediate,2019-02-08,2020-02-08,Valid
